., 967.7301635742188, 450.3391418457031, 997.6912231445312, 508.5517883300781
., 920.0445556640625, 472.5442199707031, 991.4423217773438, 581.7757568359375
/, 1454.210205078125, 432.4196472167969, 1609.623046875, 768.3037719726562
b, 423.6885986328125, 458.1778259277344, 456.4300231933594, 516.9737548828125
b, 1107.1990966796875, 434.1016845703125, 1141.3260498046875, 544.302734375
o, 654.4049682617188, 458.0422668457031, 714.4066772460938, 631.624267578125
x, 1684.748046875, 425.7188720703125, 1795.1693115234375, 629.0770874023438
/, 846.0684204101562, 466.3843078613281, 882.5425415039062, 535.1422119140625
t, 539.5667114257812, 458.6849060058594, 579.0914306640625, 559.7698974609375
r, 1363.819091796875, 435.3460693359375, 1394.0380859375, 495.5907287597656
a, 1007.0847778320312, 422.32244873046875, 1054.16552734375, 534.7946166992188
i, 726.4644165039062, 468.8706359863281, 766.6394653320312, 571.3281860351562
n, 682.6741943359375, 463.0705261230469, 724.74560546875, 540.1046142578125
_, 1170.43701171875, 434.7807922363281, 1201.4837646484375, 533.4396362304688
b, 966.5885009765625, 466.7385559082031, 1010.19091796875, 533.3187255859375
b, 931.7254638671875, 436.0692138671875, 971.2708129882812, 514.4722900390625
o, 576.0090942382812, 445.718505859375, 677.3431396484375, 716.1275634765625
x, 442.7753601074219, 449.6847229003906, 549.3734130859375, 732.9951171875
\, 656.4937133789062, 458.7296142578125, 693.1837768554688, 526.7134399414062
M, 1258.3240966796875, 439.4308776855469, 1298.7265625, 549.9486694335938
O, 501.72113037109375, 465.15325927734375, 562.32470703125, 652.0685424804688
T, 707.5558471679688, 467.7162170410156, 740.2024536132812, 518.8112182617188
1, 955.1751098632812, 476.0306701660156, 1016.5057983398438, 557.404541015625
7, 980.6422729492188, 443.6551818847656, 1011.8814697265625, 508.777587890625
-, 1055.109619140625, 476.14691162109375, 1091.309326171875, 545.7276611328125
0, 1335.9981689453125, 429.4137268066406, 1518.1177978515625, 785.365478515625
